date_key,date_id,full_date,day,month,quarter,year,is_weekend,is_holiday
107,20200416,4/16/2020,16,4,2,2020,0,0
108,20200417,4/17/2020,17,4,2,2020,0,0
109,20200418,4/18/2020,18,4,2,2020,1,0
110,20200419,4/19/2020,19,4,2,2020,1,0
111,20200420,4/20/2020,20,4,2,2020,0,0
112,20200421,4/21/2020,21,4,2,2020,0,0
113,20200422,4/22/2020,22,4,2,2020,0,0
114,20200423,4/23/2020,23,4,2,2020,0,0
115,20200424,4/24/2020,24,4,2,2020,0,0
116,20200425,4/25/2020,25,4,2,2020,1,0
117,20200426,4/26/2020,26,4,2,2020,1,0
118,20200427,4/27/2020,27,4,2,2020,0,0
119,20200428,4/28/2020,28,4,2,2020,0,0
120,20200429,4/29/2020,29,4,2,2020,0,0
121,20200430,4/30/2020,30,4,2,2020,0,0
122,20200501,5/1/2020,1,5,2,2020,0,0
123,20200502,5/2/2020,2,5,2,2020,1,0
124,20200503,5/3/2020,3,5,2,2020,1,0
125,20200504,5/4/2020,4,5,2,2020,0,0
126,20200505,5/5/2020,5,5,2,2020,0,0
127,20200506,5/6/2020,6,5,2,2020,0,0
128,20200507,5/7/2020,7,5,2,2020,0,0
129,20200508,5/8/2020,8,5,2,2020,0,1
130,20200509,5/9/2020,9,5,2,2020,1,0
131,20200510,5/10/2020,10,5,2,2020,1,0
132,20200511,5/11/2020,11,5,2,2020,0,0
133,20200512,5/12/2020,12,5,2,2020,0,0
134,20200513,5/13/2020,13,5,2,2020,0,0
135,20200514,5/14/2020,14,5,2,2020,0,0
136,20200515,5/15/2020,15,5,2,2020,0,0
137,20200516,5/16/2020,16,5,2,2020,1,0
138,20200517,5/17/2020,17,5,2,2020,1,0
139,20200518,5/18/2020,18,5,2,2020,0,0
140,20200519,5/19/2020,19,5,2,2020,0,0
141,20200520,5/20/2020,20,5,2,2020,0,0
142,20200521,5/21/2020,21,5,2,2020,0,0
143,20200522,5/22/2020,22,5,2,2020,0,0
144,20200523,5/23/2020,23,5,2,2020,1,0
145,20200524,5/24/2020,24,5,2,2020,1,0
146,20200525,5/25/2020,25,5,2,2020,0,1
147,20200526,5/26/2020,26,5,2,2020,0,0
148,20200527,5/27/2020,27,5,2,2020,0,0
149,20200528,5/28/2020,28,5,2,2020,0,0
150,20200529,5/29/2020,29,5,2,2020,0,0
151,20200530,5/30/2020,30,5,2,2020,1,0
152,20200531,5/31/2020,31,5,2,2020,1,0
153,20200601,6/1/2020,1,6,2,2020,0,0
154,20200602,6/2/2020,2,6,2,2020,0,0
155,20200603,6/3/2020,3,6,2,2020,0,0
156,20200604,6/4/2020,4,6,2,2020,0,0
157,20200605,6/5/2020,5,6,2,2020,0,0
158,20200606,6/6/2020,6,6,2,2020,1,0
159,20200607,6/7/2020,7,6,2,2020,1,0
160,20200608,6/8/2020,8,6,2,2020,0,0
161,20200609,6/9/2020,9,6,2,2020,0,0
162,20200610,6/10/2020,10,6,2,2020,0,0
163,20200611,6/11/2020,11,6,2,2020,0,0
164,20200612,6/12/2020,12,6,2,2020,0,0
165,20200613,6/13/2020,13,6,2,2020,1,0
166,20200614,6/14/2020,14,6,2,2020,1,0
167,20200615,6/15/2020,15,6,2,2020,0,0
168,20200616,6/16/2020,16,6,2,2020,0,0
169,20200617,6/17/2020,17,6,2,2020,0,0
170,20200618,6/18/2020,18,6,2,2020,0,0
171,20200619,6/19/2020,19,6,2,2020,0,0
172,20200620,6/20/2020,20,6,2,2020,1,0
173,20200621,6/21/2020,21,6,2,2020,1,0
174,20200622,6/22/2020,22,6,2,2020,0,0
175,20200623,6/23/2020,23,6,2,2020,0,0
176,20200624,6/24/2020,24,6,2,2020,0,0
177,20200625,6/25/2020,25,6,2,2020,0,0
178,20200626,6/26/2020,26,6,2,2020,0,0
179,20200627,6/27/2020,27,6,2,2020,1,0
180,20200628,6/28/2020,28,6,2,2020,1,0
181,20200629,6/29/2020,29,6,2,2020,0,0
182,20200630,6/30/2020,30,6,2,2020,0,0
183,20200701,7/1/2020,1,7,3,2020,0,0
184,20200702,7/2/2020,2,7,3,2020,0,0
185,20200703,7/3/2020,3,7,3,2020,0,0
186,20200704,7/4/2020,4,7,3,2020,1,0
187,20200705,7/5/2020,5,7,3,2020,1,0
188,20200706,7/6/2020,6,7,3,2020,0,0
189,20200707,7/7/2020,7,7,3,2020,0,0
190,20200708,7/8/2020,8,7,3,2020,0,0
191,20200709,7/9/2020,9,7,3,2020,0,0
192,20200710,7/10/2020,10,7,3,2020,0,0
193,20200711,7/11/2020,11,7,3,2020,1,0
194,20200712,7/12/2020,12,7,3,2020,1,0
195,20200713,7/13/2020,13,7,3,2020,0,0
196,20200714,7/14/2020,14,7,3,2020,0,0
197,20200715,7/15/2020,15,7,3,2020,0,0
198,20200716,7/16/2020,16,7,3,2020,0,0
199,20200717,7/17/2020,17,7,3,2020,0,0
200,20200718,7/18/2020,18,7,3,2020,1,0
201,20200719,7/19/2020,19,7,3,2020,1,0
202,20200720,7/20/2020,20,7,3,2020,0,0
203,20200721,7/21/2020,21,7,3,2020,0,0
204,20200722,7/22/2020,22,7,3,2020,0,0
205,20200723,7/23/2020,23,7,3,2020,0,0
206,20200724,7/24/2020,24,7,3,2020,0,0
207,20200725,7/25/2020,25,7,3,2020,1,0
208,20200726,7/26/2020,26,7,3,2020,1,0
209,20200727,7/27/2020,27,7,3,2020,0,0
210,20200728,7/28/2020,28,7,3,2020,0,0
211,20200729,7/29/2020,29,7,3,2020,0,0
212,20200730,7/30/2020,30,7,3,2020,0,0
213,20200731,7/31/2020,31,7,3,2020,0,0
214,20200801,8/1/2020,1,8,3,2020,1,0
215,20200802,8/2/2020,2,8,3,2020,1,0
216,20200803,8/3/2020,3,8,3,2020,0,0
217,20200804,8/4/2020,4,8,3,2020,0,0
218,20200805,8/5/2020,5,8,3,2020,0,0
